ensembl_gene_id,external_gene_name
ENSG00000094914,AAAS
ENSG00000008311,AASS
ENSG00000198691,ABCA4
ENSG00000064687,ABCA7
ENSG00000006071,ABCC8
ENSG00000069431,ABCC9
ENSG00000011198,ABHD5
ENSG00000075239,ACAT1
ENSG00000102977,ACD
ENSG00000078124,ACER3
ENSG00000100412,ACO2
ENSG00000161533,ACOX1
ENSG00000168306,ACOX2
ENSG00000102575,ACP5
ENSG00000068366,ACSL4
ENSG00000143632,ACTA1
ENSG00000107796,ACTA2
ENSG00000075624,ACTB
ENSG00000184009,ACTG1
ENSG00000115170,ACVR1
ENSG00000008277,ADAM22
ENSG00000142303,ADAMTS10
ENSG00000156140,ADAMTS3
ENSG00000160710,ADAR
ENSG00000213638,ADAT3
ENSG00000205336,ADGRG1
ENSG00000101126,ADNP
ENSG00000222040,ADRA2B
ENSG00000239900,ADSL
ENSG00000155966,AFF2
ENSG00000072364,AFF4
ENSG00000141385,AFG3L2
ENSG00000038002,AGA
ENSG00000084693,AGBL5
ENSG00000164252,AGGF1
ENSG00000162688,AGL
ENSG00000169692,AGPAT2
ENSG00000188157,AGRN
ENSG00000180772,AGTR2
ENSG00000101444,AHCY
ENSG00000126705,AHDC1
ENSG00000135541,AHI1
ENSG00000106546,AHR
ENSG00000145192,AHSG
ENSG00000156709,AIFM1
ENSG00000106305,AIMP2
ENSG00000129221,AIPL1
ENSG00000142208,AKT1
ENSG00000117020,AKT3
ENSG00000059573,ALDH18A1
ENSG00000072210,ALDH3A2
ENSG00000159423,ALDH4A1
ENSG00000112294,ALDH5A1
ENSG00000164904,ALDH7A1
ENSG00000149925,ALDOA
ENSG00000136872,ALDOB
ENSG00000101901,ALG13
ENSG00000119523,ALG2
ENSG00000086848,ALG9
ENSG00000116127,ALMS1
ENSG00000179477,ALOX12B
ENSG00000179148,ALOXE3
ENSG00000180318,ALX1
ENSG00000156150,ALX3
ENSG00000052850,ALX4
ENSG00000184675,AMER1
ENSG00000101935,AMMECR1
ENSG00000145020,AMT
ENSG00000029534,ANK1
ENSG00000151150,ANK3
ENSG00000176915,ANKLE2
ENSG00000167522,ANKRD11
ENSG00000160746,ANO10
ENSG00000169604,ANTXR1
ENSG00000106367,AP1S1
ENSG00000182287,AP1S2
ENSG00000132842,AP3B1
ENSG00000134262,AP4B1
ENSG00000081014,AP4E1
ENSG00000221838,AP4M1
ENSG00000100478,AP4S1
ENSG00000242802,AP5Z1
ENSG00000115266,APC2
